ranking,score,titulo,bairro,custo_total,custo_m2,preco,area,condominio,iptu,quartos,garagem,score_bairro,score_qualitativo,cidade,url,coleta_data
1,95.0,Imóvel para aluguel com 43 metros quadrados com 2 quartos em Flamengo - Rio de Janeiro - R,Flamengo,3427.0,51.16279069767442,2200.0,43,883.0,344.0,2,0,40,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/imovel-para-aluguel-com-43-metros-quadrados-com-2-quartos-em-flamengo-rio-de-janeiro-r-1492068025,2026-05-01 10:19:28
2,90.0,Oportunidade de Quarto e Sala no Flamengo,Flamengo,3220.0,52.0,2600.0,50,620.0,0.0,1,0,40,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/oportunidade-de-quarto-e-sala-no-flamengo-1496020492,2026-05-01 10:19:28
3,85.0,OTIMO QUARTO ATLANTICA COPACABANA POSTO 5,Copacabana,2499.0,6.2475,2499.0,400,0.0,0.0,3,0,10,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/otimo-quarto-atlantica-copacabana-posto-5-1496195887,2026-05-01 10:19:26
4,85.0,APARTAMENTO PRÓXIMO A LAPA,Santa Teresa,2474.0,28.571428571428573,2000.0,70,400.0,74.0,2,0,10,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-proximo-a-lapa-1498209647,2026-05-01 10:19:26
5,85.0,"Apartamento - C. 1105 Rua Silveira Martins, 505 - Flamengo",Flamengo,3152.0,60.0,2400.0,40,650.0,102.0,1,0,40,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-c-1105-rua-silveira-martins-505-flamengo-1497477882,2026-05-01 10:19:26
6,85.0,Apartamento 1 quarto Mobiliado - Catete,Catete,2802.0,56.0,2800.0,50,1.0,1.0,1,0,25,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-1-quarto-mobiliado-catete-1491164648,2026-05-01 10:19:28
7,80.0,"Apartamento para locação, Laranjeiras, Rio de Janeiro, RJ",Laranjeiras,3875.0,28.089887640449437,2500.0,89,1200.0,175.0,2,1,25,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-locacao-laranjeiras-rio-de-janeiro-rj-1494214568,2026-05-01 10:19:28
8,80.0,"Aluguel de apartamento de 2 quartos em Botafogo, ha 5 minutos a pé do Metro de Botafogo",Botafogo,4388.0,40.0,3200.0,80,950.0,238.0,2,0,35,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluguel-de-apartamento-de-2-quartos-em-botafogo-ha-5-minutos-a-pe-do-metro-de-botafogo-1496957124,2026-05-01 10:19:26
9,80.0,Alugo 2 quartos no Flamengo,Flamengo,5008.0,42.35294117647059,3600.0,85,1260.0,148.0,2,0,40,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-2-quartos-no-flamengo-1494395634,2026-05-01 10:19:26
10,80.0,Imóvel para aluguel possui 68 metros quadrados com 2 quartos em Flamengo - Rio de Janeiro,Flamengo,4249.0,44.11764705882353,3000.0,68,1094.0,155.0,2,0,40,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/imovel-para-aluguel-possui-68-metros-quadrados-com-2-quartos-em-flamengo-rio-de-janeiro-1497318096,2026-05-01 10:19:26
